iter	Passed	Remaining
665	10500	5266
666	10515	5249
667	10530	5233
668	10544	5217
669	10560	5201
670	10574	5184
671	10588	5168
672	10602	5151
673	10617	5135
674	10632	5119
675	10647	5103
676	10661	5086
677	10677	5070
678	10691	5054
679	10705	5038
680	10719	5021
681	10735	5005
682	10750	4989
683	10765	4973
684	10780	4957
685	10794	4940
686	10808	4924
687	10822	4907
688	10837	4891
689	10851	4875
690	10865	4858
691	10880	4842
692	10895	4826
693	10910	4810
694	10925	4794
695	10940	4778
696	10956	4762
697	10971	4746
698	10986	4730
699	11000	4714
700	11015	4698
701	11029	4681
702	11043	4665
703	11058	4649
704	11072	4633
705	11087	4617
706	11102	4601
707	11117	4585
708	11131	4568
709	11145	4552
710	11160	4536
711	11174	4520
712	11189	4503
713	11203	4487
714	11218	4471
715	11231	4455
716	11246	4439
717	11261	4423
718	11276	4407
719	11290	4390
720	11304	4374
721	11318	4358
722	11333	4342
723	11347	4325
724	11362	4310
725	11377	4294
726	11392	4277
727	11406	4261
728	11420	4245
729	11435	4229
730	11451	4213
731	11468	4198
732	11483	4182
733	11497	4166
734	11511	4150
735	11526	4134
736	11540	4118
737	11555	4102
738	11569	4086
739	11585	4070
740	11599	4054
741	11614	4038
742	11628	4022
743	11642	4006
744	11657	3990
745	11671	3974
746	11685	3957
747	11701	3942
748	11714	3925
749	11728	3909
750	11743	3893
751	11758	3877
752	11773	3861
753	11788	3846
754	11801	3829
755	11816	3813
756	11855	3805
757	11913	3803
758	11944	3792
759	11962	3777
760	11982	3763
761	11996	3747
762	12013	3731
763	12026	3715
764	12042	3699
765	12056	3683
766	12071	3667
767	12089	3651
768	12113	3638
769	12132	3623
770	12151	3609
771	12166	3593
772	12183	3577
773	12199	3562
774	12215	3546
775	12229	3530
776	12245	3514
777	12261	3498
778	12278	3483
779	12293	3467
780	12305	3450
781	12319	3434
782	12333	3418
783	12348	3402
784	12362	3385
785	12377	3369
786	12392	3353
787	12406	3337
788	12421	3321
789	12436	3305
790	12449	3289
791	12463	3273
792	12478	3257
793	12493	3241
794	12506	3224
795	12520	3208
796	12535	3192
797	12550	3176
798	12573	3163
799	12589	3147
800	12606	3131
801	12621	3116
802	12636	3100
803	12652	3084
804	12666	3068
805	12680	3052
806	12695	3036
807	12712	3020
808	12726	3004
809	12741	2988
810	12756	2972
811	12771	2956
812	12786	2941
813	12799	2924
814	12816	2909
815	12830	2893
816	12844	2876
817	12857	2860
818	12869	2844
819	12882	2827
820	12896	2811
821	12911	2795
822	12925	2779
823	12939	2763
824	12953	2747
825	12966	2731
826	12980	2715
827	12994	2699
828	13008	2683
829	13024	2667
830	13037	2651
831	13052	2635
832	13066	2619
833	13079	2603
834	13093	2587
835	13107	2571
836	13120	2555
837	13133	2538
838	13146	2522
839	13159	2506
840	13172	2490
841	13186	2474
842	13200	2458
843	13214	2442
844	13229	2426
845	13241	2410
846	13255	2394
847	13268	2378
848	13282	2362
849	13295	2346
850	13308	2330
851	13323	2314
852	13336	2298
853	13349	2282
854	13362	2266
855	13377	2250
856	13390	2234
857	13405	2218
858	13419	2202
859	13434	2187
860	13451	2171
861	13466	2155
862	13480	2140
863	13494	2124
864	13508	2108
865	13521	2092
866	13534	2076
867	13548	2060
868	13561	2044
869	13574	2028
870	13587	2012
871	13600	1996
872	13614	1980
873	13627	1964
874	13643	1949
875	13656	1933
876	13670	1917
877	13684	1901
878	13698	1885
879	13713	1869
880	13726	1854
881	13740	1838
882	13754	1822
883	13769	1806
884	13784	1791
885	13800	1775
886	13818	1760
887	13833	1744
888	13848	1729
889	13862	1713
890	13876	1697
891	13889	1681
892	13904	1666
893	13918	1650
894	13930	1634
895	13944	1618
896	13957	1602
897	13971	1586
898	13984	1571
899	13998	1555
900	14011	1539
901	14024	1523
902	14037	1507
903	14052	1492
904	14065	1476
905	14079	1460
906	14093	1445
907	14105	1429
908	14120	1413
909	14134	1397
910	14147	1382
911	14162	1366
912	14175	1350
913	14189	1335
914	14203	1319
915	14217	1303
916	14230	1288
917	14244	1272
918	14259	1256
919	14273	1241
920	14286	1225
921	14300	1209
922	14312	1194
923	14326	1178
924	14339	1162
925	14353	1147
926	14367	1131
927	14380	1115
928	14395	1100
929	14409	1084
930	14422	1068
931	14435	1053
932	14450	1037
933	14469	1022
934	14485	1006
935	14499	991
936	14516	976
937	14531	960
938	14547	945
939	14563	929
940	14580	914
941	14596	898
942	14611	883
943	14627	867
944	14642	852
945	14658	836
946	14674	821
947	14690	805
948	14705	790
949	14720	774
950	14739	759
951	14754	743
952	14768	728
953	14782	712
954	14797	697
955	14812	681
956	14826	666
957	14841	650
958	14864	635
959	14881	620
960	14895	604
961	14910	588
962	14924	573
963	14937	557
964	14951	542
965	14964	526
966	14978	511
967	14991	495
968	15006	480
969	15020	464
970	15033	448
971	15048	433
972	15063	417
973	15077	402
974	15093	387
975	15107	371
976	15121	355
977	15134	340
978	15149	324
979	15163	309
980	15177	293
981	15190	278
982	15204	262
983	15218	247
984	15232	231
985	15246	216
986	15260	201
987	15274	185
988	15288	170
989	15301	154
990	15315	139
991	15328	123
992	15342	108
993	15357	92
994	15371	77
995	15385	61
996	15397	46
997	15410	30
998	15425	15
999	15439	0
